Ano, Anoon, Daano;Ada;descripsi
Aata;Budak;descripsi
Abali,Aliling, Mule;Kembali, Balik, Pulang;descripsi
Abalimo, Alilingo;Sudah Balik, Sudah Kembali;descripsi
Mulekono, Bamulekono;Sudah Pulang;descripsi
Abalikene, Alilinggene, Mulekene;Kembalikan, Pulangkan;descripsi
Abalikenemo, Mulekenemo, Alilinggenemo;Pulangkan saja, Kembalikan Saja;descripsi
Abin;Pangku;descripsi
Inabin;Dipagku;descripsi
Mangabin;Memangku;descripsi
Tangabin;Terpangku;descripsi
Abese, Abos;Simpan;descripsi
Abesemo;Simpan Saja;descripsi
Abesekenemo;Simpankan Saja;descripsi
Abesekene;Simpankan;descripsi
Abos;Simpan;descripsi
Inabos;Disimpan;descripsi
Inaboson;Sudah Disimpan;descripsi
Mangabos, Baabos;Menyimpan;descripsi
Mangaboso, Baaboso;Sudah Menyimpan;descripsi
Tangabos;Tersimpan;descripsi
Abu;Abu, Dapur;descripsi
Abung;Daging dari jenis Siput kecil;descripsi
Ade;Dagu, Bawah;descripsi
Ade-adeno;Merengek-rengek;descripsi
Adi;Haji;descripsi
Agaga;Kurang Sopan;descripsi
Adu;Urut, Pijat;descripsi
Inadu;Diururt, Dipijat;descripsi
A'I, Aki;Tidak;descripsi
Ai;Kaki;descripsi
Aino;Kakinya;descripsi
Aino Sausasuno;Jarijari Kaki;descripsi
Ai Pallapo;Telapak Kaki;descripsi
Aimuyu;Kakimu;descripsi
Ainggita;Kaki Kita;descripsi
Ainggu;Kakiku;descripsi
Ainila;Kaki Mereka;descripsi
Aison, Booli, Lamit;Buang;descripsi
Inaison;Dibuang;descripsi
Ait;Hitung;descripsi
Inait;Dihitung;descripsi
Mangait;Menghitung;descripsi
Tangait;Terhitung;descripsi
Ajaran;Kuda;descripsi
Akabasale;Muliakan;descripsi
Kabus;Habis;descripsi
Akal;Akal;descripsi
Kaan;Makan;descripsi
Akat, Tomok;Bakau, Mangrov;descripsi
Akato;Akar;descripsi
Akimo, Kimo;Sudah Tidak;descripsi
Akio,Kio;Tidak Ada;descripsi
Kabuso;Sudah Habis;descripsi
Akion, Kion;Belum;descripsi
Akionan;Belum Lagi;descripsi
Ala, Pulut;Ambil;descripsi
Inala, Pinulut;Diambil;descripsi
Inalamo;Sudah Diambil;descripsi
Alayo, Pulute;Ambillah;descripsi
Alayomo,Pulutemo;Ambil Saja;descripsi
Alakene, Pulutene;Ambilkan;descripsi
Alaase, Alaason;Pisahkan, Kecuali;descripsi
Inalaason;Dipisahkan;descripsi
Lapa;Selesai;descripsi
Lapamo;Sudah Selesai;descripsi
Alatambokon;Menjadi Buruh;descripsi
Ali-ali;Ragu-ragu, Segan;descripsi
Aliling;Kembali;descripsi
Mule;Pulang;descripsi
Alimou, Masala;Gerhana;descripsi
Alimbotu, Libulus, Libubus;Kabut;descripsi
Alep;Lidah;descripsi
Aloaloikene;Disindirkan;descripsi
Aloi;Lewat, Berlalu, Burung Elang;descripsi
Alos, Lui;Tali, Tali Hutan;descripsi
Alu;Delapan;descripsi
Alumbino;Jengger;descripsi
Alus;Halus;descripsi
Aluse;Warisi, Puskakan;descripsi
Am;Sedang;descripsi
Amaat;Pahat;descripsi
Ambala;Abu, Debu;descripsi
Amo, Bamo;Sisa yang ada, Kecuali kalau;descripsi
Amok;Kotoran Berupa Benda;descripsi
Ampal, Mangampal;Bekerja;descripsi
Ampale;Mencarinya;descripsi
Ampakon, Taus;Berjalan, Pergi;descripsi
Ampas;Alas, Hampar;descripsi
Ampir;Mengampiri;descripsi
Ampit;Lipat;descripsi
Anano;Sisik, Sisiknya;descripsi
Anam;Anyam;descripsi
Andan, Ande, Anget;Undag, Ajak, Panggil;descripsi
Lago;Saudara dari Suami/Istri;descripsi
Anggayo;Percaya, Hargai;descripsi
Anggol;Akar;descripsi
Ani, Kokulun;Lebah, Tawon;descripsi
Antang, Antoko;Antar;descripsi
Antok;Daging, Isi;descripsi
Antong;Awan;descripsi
Bunom;Mendung;descripsi
Aok;Bambu;descripsi
Apon, Sool;Udang;descripsi
Asaang;Nafas;descripsi
Asaan, Bilasan;Batu Asah;descripsi
Ase, Ande, Engel, Angat;Bujuk Ajak;descripsi
Asi, Kombung;Kebun;descripsi
Aso, Kalu;Jika, Kalau;descripsi
Aso asokan;Desak Mendesak;descripsi
Asobudoo;Kalau begitu;descripsi
Asok;Kumpul;descripsi
Asu, Danggu;Anjing;descripsi
At;Langkah;descripsi
Ata;Budak;descripsi
Atak;Karat;descripsi
Atalau;Titip;descripsi
Ate;Usus, Hati, Jantug;descripsi
Atean;Dalam (Sungai, Laut);descripsi
Ateno;Hatinya;descripsi
Aul, Aung, Bilat, Poilat;Api;descripsi
Ayok;Cium;descripsi
Ayong;Arang;descripsi
Baaba, Tama;Bapak, Papa, Ayah;descripsi
Baabos, Mangabos;Menyimpan;descripsi
Baabung;Menimbun, Mengumpulkan;descripsi
Baang;Jalan Kaki;descripsi
Baabu, Adu;Mengurut, Urut, Pijat;descripsi
Baaliling;Bertamu;descripsi
Baba;Mulut, Bawah;descripsi
Babano;Mulutnya;descripsi
Babayo;Bawahlah;descripsi
Babayomo;Bawah Saja;descripsi
Babakene;Bawakan;descripsi
Babang;Bawang;descripsi
Babangi, Bobongi;Harum, Wangi;descripsi
Babanal, Banal;Berselonjor, Duduk Berselonjor;descripsi
Babaabu Soodu, Baabuan;Pengantin Baru, Mempelai;descripsi
Babalat, Babarat;Berat;descripsi
Babalato;Sudah Berat;descripsi
Binabalat;Diberati;descripsi
Babasal;Besar;descripsi
Binabasal;Dibesarkan;descripsi
Babasalo;Sudah Besar;descripsi
Babibian;Bergurau, Percintaan;descripsi
Babingkat;Mengangkat;descripsi
Babingkaton;Menaruh, Letakkan;descripsi
Babisala, Basilingan,;Berbicara, Berkata;descripsi
Babo, Kombiang, Salipoot;Kamar Tidur;descripsi
Babok, Umpas;Pukul, Hantam, Tampar;descripsi
Babooan, Peepende;Dangkal;descripsi
Babose, Bose;Mendayung, Dayung;descripsi
Babudul;Berbohong;descripsi
Babuani;Menjala Ikan;descripsi
Babuku;Kuat;descripsi
Babukuan;Tempat Tulang;descripsi
Babui;Babi;descripsi
Babulaa;Sedang Buat Apa;descripsi
Babusoi;Mencuci, Membasuh;descripsi
Bada;Bedak;descripsi
Badaang, daradak;Banyak;descripsi
Badagai;Waspada;descripsi
Teemanggene, Bajagai;Berjaga jaga;descripsi
Baduas;Ikan Layar;descripsi
Badung;Pacul, Pukul Sagu;descripsi
Badunggal;Celaka, Mati;descripsi
Badunggalan;Tempat Celakaa atau waktu Kematian;descripsi
Bagalaal, Galal;Berbincang, Bincang;descripsi
Bagau;Merajuk;descripsi
Baginsaa;Bangsawan;descripsi
Bai;Tapi;descripsi
Bajan, Dili;Tubuh, Badan;descripsi
Bajene;Wuduh;descripsi
Bakai Kokondong;Berdiri Berulang ulang;descripsi
Bakalinga;Kanan;descripsi
Bobo;Kiri;descripsi
Bakakanggi;Berpegangan;descripsi
Bakeda, Bakeduk, Pote;Bersetubuh;descripsi
Bakidung;Bernyanyi;descripsi
Bakilakit;Minta Menumpang;descripsi
Bakilakom;Terpendam Dihati;descripsi
Bakitulung, Bakimaasi, Mangkabi tulung;Minta Tolong;descripsi
Bakisosok, Bakoisok;Menyimpa, Bersiap, Merapikan;descripsi
Bakokoa;Bertudung, Tutup Kepala;descripsi
Bakoko, Bakko, Bolung;Parang, Golok;descripsi
Bakokondong;Mendirikan;descripsi
Bakulibang;Membuat Kopra;descripsi
Baku;Ubi;descripsi
Bakuda;Menumbuk;descripsi
Balalau, Ballau;Telanjang;descripsi
Ballau bendang;Telanjang Bulat;descripsi
Balangkai, Balangkai;Lebih Baik;descripsi
Balangkai, Balangkai;Gelang;descripsi
Balainsunsung;Berurutan;descripsi
Balatindak;Main Langkah (Sejenis Pencak silat);descripsi
Balayon;Tikar;descripsi
Baleel;Berbanjar;descripsi
Baledut;Bergeser Tempat dengan Pantat;descripsi
Bali;Lawan;descripsi
Balibang;Berpesta;descripsi
Balik;Berubah, Luntur;descripsi
Balimang;Bekerja;descripsi
Balipapak;Bergeletar;descripsi
Balongka;Montimun, Ketimun;descripsi
Balu-balu;Pasukan Perang, Tentara Kerajaan;descripsi
Balu;Janda, Duda yang ditinggal mati;descripsi
Baluk, Palele, Bangkit;Jual, Jaja;descripsi
Mabalukon;Menjual;descripsi
Binalukon;Dijual;descripsi
Balun;Kain Kafan;descripsi
Bameengan;Satu Kesatuan;descripsi
Bameenggon;Bersama sama;descripsi
Bamo, Amo;Hanya, Sisa;descripsi
Bambombonoi;Mencari Tali Hutan;descripsi
Bana;Paha;descripsi
Banang;Benang;descripsi
Banda;Capek Otot;descripsi
Bandaon;Kecapean, Kelelahan;descripsi
Bandabe;Mencari, Memungut;descripsi
Bandangas;Makan Buah Terlalu Berlebihan;descripsi
Bandaingdulung;Berhujan hujanan, Kehujanan;descripsi
Bande, Balan, Bolon, Balenede;Monyet, Kera;descripsi
Bandoloi;Berpacaran;descripsi
Bangail;Jambang, Brewok;descripsi
Bangkak, Bobongan;Bengkak;descripsi
Bangkapi, Banggapi, Miyan;Orang;descripsi
Bangkulu, Bangkurung;Ulat Kaki Seribu;descripsi
Bangun;Bangun;descripsi
Banggait, Banggaitan;Perhitungan;descripsi
Banggamaina;Sampai Besok;descripsi
BanggaMooloyo;Sampai Siang;descripsi
ManggaModoa, BanggaMonunuan;Sampai Pagi;descripsi
Banggal;Berhenti, Sudah;descripsi
Banggalo;Sudah Saja, Berhenti Saja;descripsi
Banggaal, Babanggaal;Puji Diri, Sombong;descripsi
Banggolinggong, Baumbanggon;Berbaring;descripsi
Banika;Kawin, Menikah;descripsi
Banoa;Sakit hati, Makan Hati, Patah Hati;descripsi
Banjela;Jendela;descripsi
Bantala, Babantala, Pandoku, Poloon;Malas, Kurang nyaman;descripsi
Bantang;Rentang;descripsi
Bantanggene;Rentangkanlah;descripsi
Bantil;Bilang;descripsi
Bisala;Bicara;descripsi
Silingan;Bahasa;descripsi
Salita;Cerita;descripsi
Bantilano;Bicaranya, Perkataannya;descripsi
Baontokii;Berisi, Mengisi;descripsi
Baobos;Berbagi;descripsi
Bapeneus;Tukar Pakaian;descripsi
Bapilogot;Kerasukan;descripsi
Basalean, Natal;Halaman Rumah, Depan Rumah;descripsi
Bawuloian, Moinsale;Bermusyawarah;descripsi
Basamaya;Berhutang;descripsi
Basedu, Balegeleges;Bercanda, Bergurau;descripsi
Baseleon, Seeleon;Marantau, Rantau;descripsi
Babasilingan;Bicara-bicara;descripsi
Basindua;Bercinta, Berpacaran;descripsi
Basiok;Sarapan;descripsi
Basunsung, Sunsung;Menyendiri, Sendiri;descripsi
Basusup;Merokok;descripsi
Batta, Sikala;Ubi Jalar;descripsi
Bata;Belah;descripsi
Bataken;Belahlah;descripsi
Batakenemo;Belahkan Saja;descripsi
Bata-bata;Ragu-ragu, Segan;descripsi
Batang;Pohon, Batang;descripsi
Batango;Batangnya, Pohonnya;descripsi
Batekon;Naik, Melompat;descripsi
Batetekon;Sakit Mata;descripsi
Bateteba;Berpesan;descripsi
Batong;Menabuh Gendang;descripsi
Batotobo;Berkemas;descripsi
Batu;Batu;descripsi
Bauntal, Balu;Janda, Duda;descripsi
Bauntum;Menabung;descripsi
Bawuba;Badukung, Bagendong;descripsi
Yinuba;Didukung, Digendong;descripsi
Monguba;Mendukung, Menggendong;descripsi
Bawililu;Memancing;descripsi
Babaangi;Rakyat;descripsi
Beau;Kemaluan;descripsi
Beaum;Kemiri;descripsi
Beaas;Hambur, Pancar;descripsi
Bineaas;Dihambur, Dipencar;descripsi
Tabeaas;Terhambur;descripsi
Bebang;Biawak;descripsi
Bebato;Para Pejabat, Penguasa;descripsi
Bebe;Marah-marah;descripsi
Bebean;Selalu bicara Kasar;descripsi
Bebek;Itik;descripsi
Bebel;Bengkok kebawah;descripsi
Bebelo;Pinggiran Teluk;descripsi
Bebelak;Lebar;descripsi
Bebalai;Luas;descripsi
Bebelai;Ikan Pari;descripsi
Bee;Beri, Kasih;descripsi
Belebuse;Curahlah;descripsi
Beli-belian;Gembira;descripsi
Mbesi-mbesi;Senang;descripsi
Benelung;Menebal;descripsi
Benga;Terbang;descripsi
Benge;Pundak, Bahu;descripsi
Bengket;Berturut turut;descripsi
Bontol;Putus;descripsi
Betek;Belalang;descripsi
Betekene;Perintah, Suruh;descripsi
Beu;Tak Mau;descripsi
Bibiane;Sindir, Gurau;descripsi
Bibii;Senyum;descripsi
Bibil;Pinggir;descripsi
Biiti;Cubit;descripsi
Bilat;Api;descripsi
Bilit;Pantat, Bawah;descripsi
Bilita;Kabar, Berita;descripsi
Binanakon;Sama, Serupa;descripsi
Binanggakan;Dipuji puji, Dieluk eluk;descripsi
Binduk;Bagi, Penggal Kecil;descripsi
Binggi;Pinngir;descripsi
Binsil;Pecahan;descripsi
Boos;Pukul;descripsi
Bose;Dayung;descripsi
Bingkat;Angkat, Pinjaman;descripsi
Bingkatan;Landasan Perahu;descripsi
Bingkakon;Letakkan;descripsi
Bindana;Ular;descripsi
Biok;Gerak;descripsi
Biol;Pindah;descripsi
Bisa;Boleh;descripsi
Bisamo;Sudah Benar;descripsi
Bisano;Racunnya, Saktinya;descripsi
Bisso;Anai-anai;descripsi
Bitis;Betis;descripsi
Bitu;Kubur, Nisan;descripsi
Bituon;Bulan;descripsi
Bituon masala;Gerhana Bulan;descripsi
Biyai;Puas;descripsi
Biyaiyo;Beri jalan, Berlalu;descripsi
Boowan;Bau, Busuk;descripsi
Boonowan;Berbau Harum;descripsi
Baalu;Baru;descripsi
Bobo;Kiri;descripsi
Mboyok;Depan, Haluan;descripsi
Tongkuluk;Belakang;descripsi
Boboloki;Nenek-nenek;descripsi
Bobokii;Pukul, hantam;descripsi
Bobolon;Gendang Besar/ Beduk;descripsi
Beese;Hantamlah;descripsi
Bobosul;Kenyang;descripsi
Bobogil;Harum, Wangi;descripsi
Boloa;Panu, Kurap;descripsi
Boboi;Ikatan;descripsi
Bobone;Kuat;descripsi
Bobonua;Rumah-Rumah;descripsi
bobonongko;Membungkuk;descripsi
Boboool;Subur;descripsi
Bobindukon;Jambu Air;descripsi
Bobuluk;Jahat;descripsi
Bobunteang;Gendut, Buncit;descripsi
Bobunsak;Lebat;descripsi
Babuntongi;Gemuk;descripsi
Bobuu;Bengkak;descripsi
Boit;Angkat Kening;descripsi
Boine;Perempuan;descripsi
Bokawu;Pohon Beringin;descripsi
