"Ano, Anoon, Daano",Ada,-
Aata,Budak,-
"Abali,Aliling, Mule","Kembali, Balik, Pulang",-
"Abalimo, Alilingo","Sudah Balik, Sudah Kembali",-
"Mulekono, Bamulekono",Sudah Pulang,-
"Abalikene, Alilinggene, Mulekene","Kembalikan, Pulangkan",-
"Abalikenemo, Mulekenemo, Alilinggenemo","Pulangkan saja, Kembalikan Saja",-
Abin,Pangku,-
Inabin,Dipagku,-
Mangabin,Memangku,-
Tangabin,Terpangku,-
"Abese, Abos",Simpan,-
Abesemo,Simpan Saja,-
Abesekenemo,Simpankan Saja,-
Abesekene,Simpankan,-
Abos,Simpan,-
Inabos,Disimpan,-
Inaboson,Sudah Disimpan,-
"Mangabos, Baabos",Menyimpan,-
"Mangaboso, Baaboso",Sudah Menyimpan,-
Tangabos,Tersimpan,-
Abu,"Abu, Dapur",-
Abung,Daging dari jenis Siput kecil,-
Ade,"Dagu, Bawah",-
Ade-adeno,Merengek-rengek,-
Adi,Haji,-
Agaga,Kurang Sopan,-
Adu,"Urut, Pijat",-
Inadu,"Diururt, Dipijat",-
"A'I, Aki",Tidak,-
Ai,Kaki,-
Aino,Kakinya,-
Aino Sausasuno,Jarijari Kaki,-
Ai Pallapo,Telapak Kaki,-
Aimuyu,Kakimu,-
Ainggita,Kaki Kita,-
Ainggu,Kakiku,-
Ainila,Kaki Mereka,-
"Aison, Booli, Lamit",Buang,-
Inaison,Dibuang,-
Ait,Hitung,-
Inait,Dihitung,-
Mangait,Menghitung,-
Tangait,Terhitung,-
Ajaran,Kuda,-
Akabasale,Muliakan,-
Kabus,Habis,-
Akal,Akal,-
Kaan,Makan,-
"Akat, Tomok","Bakau, Mangrov",-
Akato,Akar,-
"Akimo, Kimo",Sudah Tidak,-
"Akio,Kio",Tidak Ada,-
Kabuso,Sudah Habis,-
"Akion, Kion",Belum,-
Akionan,Belum Lagi,-
"Ala, Pulut",Ambil,-
"Inala, Pinulut",Diambil,-
Inalamo,Sudah Diambil,-
"Alayo, Pulute",Ambillah,-
"Alayomo,Pulutemo",Ambil Saja,-
"Alakene, Pulutene",Ambilkan,-
